atlas_id,sample_id,study_id,data_source,organ,subtype,grade,sample_type,annotation_confidence,qc_flag,LibraryStrategy,spots,bases,SampleName,Experiment,BioProject,BioSample,collection_date,atlas_version,Run,ReleaseDate,LoadDate,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,LibraryName,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,Study_Pubmed_id,ProjectID,Sample,SampleType,TaxID,ScientificName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash,GSM,is_NEN,matched_cell_line,nen_class,title,summary,geo_id,n_samples,platform,pubmed_id
NETA_000011,GSE124864,GSE124864,GEO,Skin,Merkel Cell,Unknown,Primary_Tumor,Medium,FALSE,NA,NA,NA,GSE124864,GSE124864,NA,NA,2025-12-04,v1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LSD1-RCOR2 binding and LSD1 and BRD9 transcriptome analysis in Merkel cell carcinoma cells,This SuperSeries is composed of the SubSeries listed below.,GSE124864,66,18573,32415271
NETA_000012,GSE127471,GSE127471,GEO,Unknown,Unknown,Unknown,Primary_Tumor,Very_Low,FALSE,NA,NA,NA,GSE127471,GSE127471,NA,NA,2025-12-04,v1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High-throughput tissue dissection and cell purification with digital cytometry [scRNA-Seq],"Tissue composition is a major determinant of phenotypic variation and a key factor influencing disease outcomes. Although scRNA-Seq has emerged as a powerful technique for characterizing cellular heterogeneity, it is currently impractical for large sample cohorts and cannot be applied to fixed specimens collected as part of routine clinical care. To overcome these challenges, we extended Cell type Identification By Estimating Relative Subsets Of RNA Transcripts (CIBERSORT) into a new platform for in silico cytometry. Our approach enables the simultaneous inference of cell type abundance and cell type-specific gene expression profiles (GEPs) from bulk tissue transcriptomes. The utility of this integrated framework, called CIBERSORTx, is demonstrated in multiple tumor types, including melanoma, where single cell reference profiles are used to dissect primary clinical specimens, revealing cell type-specific signatures of driver mutations and immunotherapy response. We anticipate that digital cytometry will augment single cell profiling efforts, enabling cost-effective, high throughput tissue characterization without the need for antibodies, disaggregation, or viable cells.",GSE127471,1,18573,31061481
NETA_000013,GSE128790,GSE128790,GEO,Pancreas,Unknown,Unknown,Cell_Line,Low,FALSE,NA,NA,NA,GSE128790,GSE128790,NA,NA,2025-12-04,v1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GTO sequencing of Human Cell Lines [cell line GTO-seq],"We first validated the robustness and high throughput capability of the GTO protocol in multiple cell lines. The key step to success of GTO is determining the optimum number of cycles for first amplification of cDNA. This step needs to be result in a balance between cDNA and gDNA reads so that the gene expression profiles generated are good while not comprimising on the CNA profile quality. This validation was done in SKBR3, A375 and BT549 cell lines. They were then compared to 315A control diploid cell line also processed by the GTO method. The scRNAseq and scDNAseq data generated by GTO was alsocompared to bulk RNAseq and DNAseq data generated in triplicates for each cell line by traditional methods. After the method was tested in cell lines, we next applied the method to mouse models to understand tumor biology. The mouse model we used here is an orthotopic transplantation model of pancreatic cancer in syngenic mice. EGFP positive KPC 1199 tumor cells were injected into the pancreas of adult wild-type mice to generate primary tumors in pancreas and metastases in liver, spleen, peritoneum and kidneys. These primary tumors and mets were then extracted and dissociated into single cell suspensions. The single cell suspensions were analyzed by flow cytometry with antibodies against CD45, Epcam and for endogeneous GFP to isolate single stromal and tumor cells. These cells were then processed by GTP protocol to analyze gDNA by CNV profiles and RNA through read counts from the same cell. To validate our data and also have controls, we generated scRNAseq gene expression data and scDNAseq CNA profiles from the 2D cells at the same passage number at which they were injected into the mice. The scRNAseq data was generated using Fluidigm C1 machine on theie medium IFC for mRNA seq according to user manual instructions. The scDNAseq data for CNA profiles was generated by sorting single nuclei into PCR plates and then using SeqXE kit from Sigma Aldrich for Whole genome amplification using their instructions again. The data analysis was done similar to scRNAseq or scDNAseq data from GTO.",GSE128790,112,18573,NA
NETA_000014,GSE128791,GSE128791,GEO,Pancreas,Unknown,Unknown,Cell_Line,Low,FALSE,NA,NA,NA,GSE128791,GSE128791,NA,NA,2025-12-04,v1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bulk RNA sequencing of A375, BT549, SKBR3 and 315A cell lines [cell line bulk RNA-seq]","We first validated the robustness and high throughput capability of the GTO protocol in multiple cell lines. The key step to success of GTO is determining the optimum number of cycles for first amplification of cDNA. This step needs to be result in a balance between cDNA and gDNA reads so that the gene expression profiles generated are good while not comprimising on the CNA profile quality. This validation was done in SKBR3, A375 and BT549 cell lines. They were then compared to 315A control diploid cell line also processed by the GTO method. The scRNAseq and scDNAseq data generated by GTO was alsocompared to bulk RNAseq and DNAseq data generated in triplicates for each cell line by traditional methods. After the method was tested in cell lines, we next applied the method to mouse models to understand tumor biology. The mouse model we used here is an orthotopic transplantation model of pancreatic cancer in syngenic mice. EGFP positive KPC 1199 tumor cells were injected into the pancreas of adult wild-type mice to generate primary tumors in pancreas and metastases in liver, spleen, peritoneum and kidneys. These primary tumors and mets were then extracted and dissociated into single cell suspensions. The single cell suspensions were analyzed by flow cytometry with antibodies against CD45, Epcam and for endogeneous GFP to isolate single stromal and tumor cells. These cells were then processed by GTP protocol to analyze gDNA by CNV profiles and RNA through read counts from the same cell. To validate our data and also have controls, we generated scRNAseq gene expression data and scDNAseq CNA profiles from the 2D cells at the same passage number at which they were injected into the mice. The scRNAseq data was generated using Fluidigm C1 machine on theie medium IFC for mRNA seq according to user manual instructions. The scDNAseq data for CNA profiles was generated by sorting single nuclei into PCR plates and then using SeqXE kit from Sigma Aldrich for Whole genome amplification using their instructions again. The data analysis was done similar to scRNAseq or scDNAseq data from GTO.",GSE128791,12,18573,NA
NETA_000015,GSE128796,GSE128796,GEO,Unknown,Unknown,Unknown,Cell_Line,Very_Low,FALSE,NA,NA,NA,GSE128796,GSE128796,NA,NA,2025-12-04,v1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bulk DNA seq, GTO-seq, and RNA-seq with murin and human cell lines",This SuperSeries is composed of the SubSeries listed below.,GSE128796,720,18573;19057,NA
NETA_000016,GSE130346,GSE130346,GEO,Skin,Merkel Cell,Unknown,Cell_Line,Medium,FALSE,NA,NA,NA,GSE130346,GSE130346,NA,NA,2025-12-04,v1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WaGa single cell RNA sequencing,The Merkel cell carcinoma cell line (MCC) WaGa was sequenced using the 10x Genomics 3' Chromium v2.0 platform in order to analyse transcriptional heterogeneity on a single cell level,GSE130346,1,20301,NA
NETA_000017,GSE130956,GSE130956,GEO,GI Tract,Unknown,Unknown,Cell_Line,Low,FALSE,NA,NA,NA,GSE130956,GSE130956,NA,NA,2025-12-04,v1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Investigation of ST8SIA1 expression in icaritin-treated and untreated melanoma cell lines,We identified that upregulation of ST8SIA1 promotes melanoma brain metastasis. The goal of this RNA-seq is to analyze the ST8SIA1 expression in icaritin-treated and untreated melanoma cell lines (DP-0574 and WP-0614 cell lines) In vitro functional studies demonstrate that ST8SIA1 overexpression promotes cell proliferation and colony formation and that this can be halted by icaritin treatment.,GSE130956,12,21697,NA
NETA_000018,GSE133567,GSE133567,GEO,Pancreas,Unknown,Unknown,Primary_Tumor,Low,FALSE,NA,NA,NA,GSE133567,GSE133567,NA,NA,2025-12-04,v1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Gene expression alterations associated with acquired-resistance to the CDK4/6 inhibitor palbociclib [Palbociclib resistance_RNASeq],"RNA-seq was performed to compare the transcriptional programmes of palbociclib-resistant A375 and CHL1 cells compared to their parental counterparts Cyclin dependent kinase 4/6 (CDK4/6) inhibitors are an established treatment in estrogen receptor positive breast cancer and are currently in clinical development in melanoma; a tumour that exhibits high rates of CDK4 activation. We analyzed melanoma cells with acquired resistance to the CDK4/6 inhibitor palbociclib, and demonstrated that palbociclib-mediated inhibition of PRMT5 is essential for sensitivity to CDK4/6 inhibitors. Mechanistically, by inhibiting PRMT5 activity, palbociclib alters MDM4 pre-mRNA splicing leading to decreased MDM4 protein expression and subsequent p53 activation. In turn, p53 increases p21 leading to inhibition of CDK2, the main kinase substituting for CDK4/6 and a key driver of resistance to palbociclib. Loss of the ability of palbociclib to regulate the PRMT5-MDM4 axis leads to resistance. Importantly, combining palbociclib with the PRMT5 inhibitor GSK3326595 enhances the efficacy of palbociclib in treatment naïve and resistant models and also delays the emergence of resistance. Our studies have uncovered a novel mechanism of action of CDK4/6 inhibitors in regulating the MDM4 oncogene and the tumor suppressor, p53. Furthermore, we have established that palbociclib inhibition of the PRMT5-MDM4 axis is essential for robust melanoma cell sensitivity and provide pre-clinical evidence that co-inhibition of CDK4/6 and PRMT5 is an effective and well tolerated therapeutic strategy. Overall our data provides a strong rationale for further investigation of novel combinations of CDK4/6 and PRMT5 inhibitors in not only melanoma but other tumour types including breast, pancreatic and esophageal carcinoma.",GSE133567,12,16791,31439820
NETA_000019,GSE133568,GSE133568,GEO,Pancreas,Unknown,Unknown,Primary_Tumor,Low,FALSE,NA,NA,NA,GSE133568,GSE133568,NA,NA,2025-12-04,v1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Genome wide transcriptome analysis of palbociclib or GSK3326595 treated A375 cells [Palbociclib_GSK_RNASeq],"RNA-seq was performed to compare the transcriptional programmes of A375 cells treated with Palbociclib or GSK3326595 compared to untreated cells Cyclin dependent kinase 4/6 (CDK4/6) inhibitors are an established treatment in estrogen receptor positive breast cancer and are currently in clinical development in melanoma; a tumour that exhibits high rates of CDK4 activation. We analyzed melanoma cells with acquired resistance to the CDK4/6 inhibitor palbociclib, and demonstrated that palbociclib-mediated inhibition of PRMT5 is essential for sensitivity to CDK4/6 inhibitors. Mechanistically, by inhibiting PRMT5 activity, palbociclib alters MDM4 pre-mRNA splicing leading to decreased MDM4 protein expression and subsequent p53 activation. In turn, p53 increases p21 leading to inhibition of CDK2, the main kinase substituting for CDK4/6 and a key driver of resistance to palbociclib. Loss of the ability of palbociclib to regulate the PRMT5-MDM4 axis leads to resistance. Importantly, combining palbociclib with the PRMT5 inhibitor GSK3326595 enhances the efficacy of palbociclib in treatment naïve and resistant models and also delays the emergence of resistance. Our studies have uncovered a novel mechanism of action of CDK4/6 inhibitors in regulating the MDM4 oncogene and the tumor suppressor, p53. Furthermore, we have established that palbociclib inhibition of the PRMT5-MDM4 axis is essential for robust melanoma cell sensitivity and provide pre-clinical evidence that co-inhibition of CDK4/6 and PRMT5 is an effective and well tolerated therapeutic strategy. Overall our data provides a strong rationale for further investigation of novel combinations of CDK4/6 and PRMT5 inhibitors in not only melanoma but other tumour types including breast, pancreatic and esophageal carcinoma.",GSE133568,6,18573,31439820
NETA_000020,GSE134004,GSE134004,GEO,Unknown,Unknown,Unknown,Cell_Line,Very_Low,FALSE,NA,NA,NA,GSE134004,GSE134004,NA,NA,2025-12-04,v1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Small RNA transcriptome analysis by parallel single cell small RNA sequencing (PSCSR-seq),"miRNA and other forms of small RNA are now known to regulate many biological processes, and miRNA profiling is already used biomedically for cancer diagnosis, staging, progression, prognosis, and to evaluate responsivity to treatment. However, there is no robust analytical method capable of dissecting the individual miRNA expression profiles from the highly heterogeneous cells comprising tumor samples. Here, we developed parallel single cell small RNA sequencing (PSCSR-seq), which enables highly sensitive and high-throughput miRNA expression profiling of individual cells. We applied PSCSR-seq to examine the small RNA profiles from large numbers of cultured cancer cells, human PBMCs, and from a tumor in a melanoma mouse model. We anticipate that PSCSR-seq can be broadly applied for small RNA analysis in cancer research and more generally in life science.",GSE134004,8,20795;16791;17021;25526,37160973
NETA_000021,GSE134195,GSE134195,GEO,Pancreas,Unknown,Unknown,Cell_Line,Low,FALSE,NA,NA,NA,GSE134195,GSE134195,NA,NA,2025-12-04,v1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Next Generation Sequencing Facilitates Quantitative Analysis of Transcriptomes Caused by Dexamethasone Treatment in Cancer Cells,"As commonly used drug in clinical, there is little known about the effects of dexamethasone (Dex) on cancer cells. The goals of this study are to explore the transcriptome caused by Dex in cancer cells. Seven cancer cell lines were used in this project, gastric cancer cell lines SGC-7901 and MKN-45, and colorectal cancer cell lines NCIH-747 and RKO, liver cancer cell line SMMC-7721, pancreatic cancer cell line BxPC3, melanoma cell line MV3. After treated by Dex for 48 hours, total RNAs were extracted for next-generation sequencing profiling.",GSE134195,14,11154,NA
