Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash,GSM,is_NEN,matched_cell_line,organ,nen_class,grade,subtype,data_source,title,summary,geo_id,n_samples,platform,pubmed_id,sample_type
SRR6413028,2018-10-01T17:35:04Z,2017-12-22T14:25:03Z,24062312,1227177912,0,51,843,NA,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/413/SRR6413028.sralite.1,SRX3506043,NA,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP127409,PRJNA427330,3,427330,SRS2783597,SAMN08234286,simple,9606,Homo sapiens,GSM2899077,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,GEO,SRA641577,NA,public,8816D970B592F64C3DFA5456235A3A69,CD5B7490F2EBFC89F25D752DB8E70C62,GSM2899077,FALSE,NA,Unknown,Unknown,Unknown,Unknown,SRA,,,NA,NA,NA,NA,Unknown
SRR6413031,2018-10-01T17:35:04Z,2017-12-22T14:21:14Z,25995507,1325770857,0,51,902,NA,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/413/SRR6413031.sralite.1,SRX3506046,NA,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP127409,PRJNA427330,3,427330,SRS2783602,SAMN08234283,simple,9606,Homo sapiens,GSM2899080,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,GEO,SRA641577,NA,public,DF02A3E4447AF0F18476A018403329B3,FFFFD5B89F93D590C4C25F346D6D37A8,GSM2899080,FALSE,NA,Unknown,Unknown,Unknown,Unknown,SRA,,,NA,NA,NA,NA,Unknown
SRR6413037,2018-10-01T17:35:05Z,2017-12-22T14:23:13Z,28259669,1441243119,0,51,970,NA,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR006/413/SRR6413037/SRR6413037.sralite.1,SRX3506052,NA,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP127409,PRJNA427330,3,427330,SRS2783605,SAMN08234277,simple,9606,Homo sapiens,GSM2899086,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,GEO,SRA641577,NA,public,0D37A50E2B3D07DE197BFAEDD7432D71,B219BF42DEDD1645F7CB704CBCDFC5D6,GSM2899086,FALSE,NA,Unknown,Unknown,Unknown,Unknown,SRA,,,NA,NA,NA,NA,Unknown
SRR35298642,2025-10-22T09:07:09Z,2025-09-09T08:51:11Z,32224236,9731719272,32224236,302,3118,NA,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR035/35298/SRR35298642/SRR35298642.lite.1,SRX30400730,HKWMVDSX2_104694-001-005,RNA-Seq,PolyA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP618277,PRJNA1321722,NA,1321722,SRS26437345,SAMN51222785,simple,9606,Homo sapiens,104694-001-005,NA,NA,NA,NA,female,NA,no,NA,NA,NA,NA,ERASMUS MC,SRA2217249,NA,public,B13A3A62BDB735E353AEEDBB59D4DCF8,B5790D89D7F7CDB13685A05AAACACDB7,NA,FALSE,NA,Unknown,Unknown,Unknown,Unknown,SRA,,,NA,NA,NA,NA,Unknown
SRR35298641,2025-10-22T09:07:09Z,2025-09-09T08:47:07Z,25492668,7698785736,25492668,302,2490,NA,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR035/35298/SRR35298641/SRR35298641.lite.1,SRX30400731,HKWMVDSX2_104694-001-006,RNA-Seq,PolyA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP618277,PRJNA1321722,NA,1321722,SRS26437346,SAMN51222786,simple,9606,Homo sapiens,104694-001-006,NA,NA,NA,NA,female,NA,no,NA,NA,NA,NA,ERASMUS MC,SRA2217249,NA,public,EE16938BBAD56EEC0D82FB391176798A,61BB4E795DCC6062F35A08AF02F8A618,NA,FALSE,NA,Unknown,Unknown,Unknown,Unknown,SRA,,,NA,NA,NA,NA,Unknown
SRR35298640,2025-10-22T09:07:09Z,2025-09-09T08:49:48Z,23713995,7161626490,23713995,302,2306,NA,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR035/35298/SRR35298640/SRR35298640.lite.1,SRX30400732,HKWMVDSX2_104694-001-007,RNA-Seq,PolyA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP618277,PRJNA1321722,NA,1321722,SRS26437347,SAMN51222787,simple,9606,Homo sapiens,104694-001-007,NA,NA,NA,NA,female,NA,no,NA,NA,NA,NA,ERASMUS MC,SRA2217249,NA,public,21F1C5C886D3FC6071B40CDBE90545ED,D890030E8D10E8989F7A8CEB8E73216C,NA,FALSE,NA,Unknown,Unknown,Unknown,Unknown,SRA,,,NA,NA,NA,NA,Unknown
SRR35298639,2025-10-22T09:07:09Z,2025-09-09T08:48:37Z,23820899,7193911498,23820899,302,2314,NA,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR035/35298/SRR35298639/SRR35298639.lite.1,SRX30400733,HKWMVDSX2_104694-001-008,RNA-Seq,PolyA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP618277,PRJNA1321722,NA,1321722,SRS26437348,SAMN51222788,simple,9606,Homo sapiens,104694-001-008,NA,NA,NA,NA,female,NA,no,NA,NA,NA,NA,ERASMUS MC,SRA2217249,NA,public,225BB053507028E15607ACF01F27CDAB,871AC829882BE456E973B69E4D66F9E2,NA,FALSE,NA,Unknown,Unknown,Unknown,Unknown,SRA,,,NA,NA,NA,NA,Unknown
SRR35298638,2025-10-22T09:06:18Z,2025-09-09T08:48:18Z,16928682,5112461964,16928682,302,1676,NA,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR035/35298/SRR35298638/SRR35298638.lite.1,SRX30400734,HKWMVDSX2_104694-001-009,RNA-Seq,PolyA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP618277,PRJNA1321722,NA,1321722,SRS26437329,SAMN51222789,simple,9606,Homo sapiens,104694-001-009,NA,NA,NA,NA,female,NA,no,NA,NA,NA,NA,ERASMUS MC,SRA2217249,NA,public,CE44297BABDD93ECA8C22618EC3427E0,D9931F80E3056E42C09CA6CDC9D4DD8E,NA,FALSE,NA,Unknown,Unknown,Unknown,Unknown,SRA,,,NA,NA,NA,NA,Unknown
SRR35298644,2025-10-22T09:07:09Z,2025-09-09T08:51:29Z,30381844,9175316888,30381844,302,2958,NA,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR035/35298/SRR35298644/SRR35298644.lite.1,SRX30400728,HKWMVDSX2_104694-001-003,RNA-Seq,PolyA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP618277,PRJNA1321722,NA,1321722,SRS26437343,SAMN51222783,simple,9606,Homo sapiens,104694-001-003,NA,NA,NA,NA,female,NA,no,NA,NA,NA,NA,ERASMUS MC,SRA2217249,NA,public,A6B40DF0CC3C32E0087C76CF24DDBEC9,87FDEF28721EA60A3A1ECF83ABF5E68D,NA,FALSE,NA,Unknown,Unknown,Unknown,Unknown,SRA,,,NA,NA,NA,NA,Unknown
SRR35298643,2025-10-22T09:07:09Z,2025-09-09T08:49:06Z,38154638,11522700676,38154638,302,3688,NA,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR035/35298/SRR35298643/SRR35298643.lite.1,SRX30400729,HKWMVDSX2_104694-001-004,RNA-Seq,PolyA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP618277,PRJNA1321722,NA,1321722,SRS26437344,SAMN51222784,simple,9606,Homo sapiens,104694-001-004,NA,NA,NA,NA,female,NA,no,NA,NA,NA,NA,ERASMUS MC,SRA2217249,NA,public,B5A9A4A8F722EA7C7560B68CFB97C91B,D410E8C92A56697CE45C777AB9AD3CCC,NA,FALSE,NA,Unknown,Unknown,Unknown,Unknown,SRA,,,NA,NA,NA,NA,Unknown
SRR35298647,2025-10-22T09:07:09Z,2025-09-09T08:50:13Z,31963123,9652863146,31963123,302,3141,NA,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR035/35298/SRR35298647/SRR35298647.lite.1,SRX30400725,HKWMVDSX2_104694-001-019,RNA-Seq,PolyA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP618277,PRJNA1321722,NA,1321722,SRS26437340,SAMN51222799,simple,9606,Homo sapiens,104694-001-019,NA,NA,NA,NA,female,NA,no,NA,NA,NA,NA,ERASMUS MC,SRA2217249,NA,public,294E57B1ED81BAFA7B5520F716EDA5C3,4D5006922BA3A5D12AEAFBAFBD8767FE,NA,FALSE,NA,Unknown,Unknown,Unknown,Unknown,SRA,,,NA,NA,NA,NA,Unknown
SRR35298646,2025-10-22T09:07:09Z,2025-09-09T08:48:07Z,20944761,6325317822,20944761,302,2069,NA,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR035/35298/SRR35298646/SRR35298646.lite.1,SRX30400726,HKWMVDSX2_104694-001-020,RNA-Seq,PolyA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP618277,PRJNA1321722,NA,1321722,SRS26437341,SAMN51222800,simple,9606,Homo sapiens,104694-001-020,NA,NA,NA,NA,female,NA,no,NA,NA,NA,NA,ERASMUS MC,SRA2217249,NA,public,C9A5A9ACE583A8BDB33C03E4E67E9718,D633F17E57D72C1F13EAA9C118ACF0F8,NA,FALSE,NA,Unknown,Unknown,Unknown,Unknown,SRA,,,NA,NA,NA,NA,Unknown
SRR35298645,2025-10-22T09:07:09Z,2025-09-09T08:47:52Z,31521898,9519613196,31521898,302,3085,NA,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR035/35298/SRR35298645/SRR35298645.lite.1,SRX30400727,HKWMVDSX2_104694-001-021,RNA-Seq,PolyA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP618277,PRJNA1321722,NA,1321722,SRS26437342,SAMN51222801,simple,9606,Homo sapiens,104694-001-021,NA,NA,NA,NA,female,NA,no,NA,NA,NA,NA,ERASMUS MC,SRA2217249,NA,public,2AF4C7E8832BA6F2488CAAB6435CDD24,0B5A91B8F9427E9D17D4908D34E71A84,NA,FALSE,NA,Unknown,Unknown,Unknown,Unknown,SRA,,,NA,NA,NA,NA,Unknown
SRR35298650,2025-10-22T09:07:10Z,2025-09-09T08:48:44Z,23081126,6970500052,23081126,302,2254,NA,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR035/35298/SRR35298650/SRR35298650.lite.1,SRX30400722,HKWMVDSX2_104694-001-002,RNA-Seq,PolyA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP618277,PRJNA1321722,NA,1321722,SRS26437337,SAMN51222782,simple,9606,Homo sapiens,104694-001-002,NA,NA,NA,NA,female,NA,no,NA,NA,NA,NA,ERASMUS MC,SRA2217249,NA,public,347B0F5ABB20783895FE8067D19A7194,571858CAD1633A0A23B3F835EC6F1FBF,NA,FALSE,NA,Unknown,Unknown,Unknown,Unknown,SRA,,,NA,NA,NA,NA,Unknown
SRR35298652,2025-10-22T09:07:10Z,2025-09-09T08:45:56Z,12547857,3789452814,12547857,302,1254,NA,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR035/35298/SRR35298652/SRR35298652.lite.1,SRX30400720,HN2JVDSX2_104694-001-015,RNA-Seq,PolyA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP618277,PRJNA1321722,NA,1321722,SRS26437335,SAMN51222795,simple,9606,Homo sapiens,104694-001-015,NA,NA,NA,NA,female,NA,no,NA,NA,NA,NA,ERASMUS MC,SRA2217249,NA,public,6FD918E690EBA2A9C3E1CAE6948EBEA0,291754CF7D755924E8068E26A002EADC,NA,FALSE,NA,Unknown,Unknown,Unknown,Unknown,SRA,,,NA,NA,NA,NA,Unknown
SRR35298651,2025-10-22T09:07:10Z,2025-09-09T08:48:16Z,19366817,5848778734,19366817,302,1910,NA,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR035/35298/SRR35298651/SRR35298651.lite.1,SRX30400721,HKWMVDSX2_104694-001-016,RNA-Seq,PolyA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP618277,PRJNA1321722,NA,1321722,SRS26437336,SAMN51222796,simple,9606,Homo sapiens,104694-001-016,NA,NA,NA,NA,female,NA,no,NA,NA,NA,NA,ERASMUS MC,SRA2217249,NA,public,7E69871334EC57B8760823A31303AB76,B2195CE9A0AA962CE43E72685A716BF4,NA,FALSE,NA,Unknown,Unknown,Unknown,Unknown,SRA,,,NA,NA,NA,NA,Unknown
SRR35298649,2025-10-22T09:07:09Z,2025-09-09T08:49:30Z,22316626,6739621052,22316626,302,2225,NA,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR035/35298/SRR35298649/SRR35298649.lite.1,SRX30400723,HKWMVDSX2_104694-001-017,RNA-Seq,PolyA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP618277,PRJNA1321722,NA,1321722,SRS26437338,SAMN51222797,simple,9606,Homo sapiens,104694-001-017,NA,NA,NA,NA,female,NA,no,NA,NA,NA,NA,ERASMUS MC,SRA2217249,NA,public,B4C35060B5C3F9D442047F11A7ADEED5,EDFA4198D292C9E3CC7B1119041D5706,NA,FALSE,NA,Unknown,Unknown,Unknown,Unknown,SRA,,,NA,NA,NA,NA,Unknown
SRR35298648,2025-10-22T09:07:09Z,2025-09-09T08:48:59Z,24440737,7381102574,24440737,302,2444,NA,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR035/35298/SRR35298648/SRR35298648.lite.1,SRX30400724,HKWMVDSX2_104694-001-018,RNA-Seq,PolyA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP618277,PRJNA1321722,NA,1321722,SRS26437339,SAMN51222798,simple,9606,Homo sapiens,104694-001-018,NA,NA,NA,NA,female,NA,no,NA,NA,NA,NA,ERASMUS MC,SRA2217249,NA,public,B9A69DF413CF43E0A505D7F600EFE1CE,1D93ADB8FE99F1043A9B87249EC49428,NA,FALSE,NA,Unknown,Unknown,Unknown,Unknown,SRA,,,NA,NA,NA,NA,Unknown
SRR35298657,2025-10-22T09:07:10Z,2025-09-09T08:47:58Z,23156517,6993268134,23156517,302,2257,NA,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR035/35298/SRR35298657/SRR35298657.lite.1,SRX30400715,HKWMVDSX2_104694-001-011,RNA-Seq,PolyA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP618277,PRJNA1321722,NA,1321722,SRS26437331,SAMN51222791,simple,9606,Homo sapiens,104694-001-011,NA,NA,NA,NA,female,NA,no,NA,NA,NA,NA,ERASMUS MC,SRA2217249,NA,public,6E86345554420E4A870449A2A1644E53,7E673263F55302ADE3807F874524CE61,NA,FALSE,NA,Unknown,Unknown,Unknown,Unknown,SRA,,,NA,NA,NA,NA,Unknown
SRR35298656,2025-10-22T09:07:10Z,2025-09-09T08:50:38Z,50007766,15102345332,50007766,302,4847,NA,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR035/35298/SRR35298656/SRR35298656.lite.1,SRX30400716,HKWMVDSX2_104694-001-012,RNA-Seq,PolyA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP618277,PRJNA1321722,NA,1321722,SRS26437332,SAMN51222792,simple,9606,Homo sapiens,104694-001-012,NA,NA,NA,NA,female,NA,no,NA,NA,NA,NA,ERASMUS MC,SRA2217249,NA,public,DF025A68FB5149A3D12AED029FBCCDA8,34D9EE09B37F05D619B34429E7B69C97,NA,FALSE,NA,Unknown,Unknown,Unknown,Unknown,SRA,,,NA,NA,NA,NA,Unknown
SRR35298655,2025-10-22T09:07:10Z,2025-09-09T08:47:33Z,23486307,7092864714,23486307,302,2302,NA,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR035/35298/SRR35298655/SRR35298655.lite.1,SRX30400717,HKWMVDSX2_104694-001-013,RNA-Seq,PolyA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP618277,PRJNA1321722,NA,1321722,SRS26437333,SAMN51222793,simple,9606,Homo sapiens,104694-001-013,NA,NA,NA,NA,female,NA,no,NA,NA,NA,NA,ERASMUS MC,SRA2217249,NA,public,6919CAC57D5C191DBF58155C23C6244B,1C8E8FA2AC020EF41C9FC81BD7640DCF,NA,FALSE,NA,Unknown,Unknown,Unknown,Unknown,SRA,,,NA,NA,NA,NA,Unknown
SRR35298654,2025-10-22T09:07:10Z,2025-09-09T08:47:31Z,25500348,7701105096,25500348,302,2515,NA,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR035/35298/SRR35298654/SRR35298654.lite.1,SRX30400718,HKWMVDSX2_104694-001-014,RNA-Seq,PolyA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP618277,PRJNA1321722,NA,1321722,SRS26437334,SAMN51222794,simple,9606,Homo sapiens,104694-001-014,NA,NA,NA,NA,female,NA,no,NA,NA,NA,NA,ERASMUS MC,SRA2217249,NA,public,3E1BF59A1DD0F7C1460CE772AEC147EA,86393FAA9B5D7C1A78FCD138D3A7CD28,NA,FALSE,NA,Unknown,Unknown,Unknown,Unknown,SRA,,,NA,NA,NA,NA,Unknown
